epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
127,10530.5,0.62968,0.37677,0.86241,0.93407,0.9024,0.94894,0.73706,0.65643,0.37287,0.86958,7.12282e-05,7.12282e-05,7.12282e-05
128,10616.1,0.62938,0.37668,0.86071,0.93328,0.90127,0.94895,0.73698,0.65604,0.37296,0.86959,6.63292e-05,6.63292e-05,6.63292e-05
129,10705.6,0.62748,0.37562,0.86117,0.93385,0.90141,0.94919,0.73645,0.65557,0.3732,0.86958,6.16227e-05,6.16227e-05,6.16227e-05
130,10790.6,0.62759,0.37544,0.86041,0.94685,0.88991,0.94901,0.73673,0.65544,0.37308,0.86964,5.71106e-05,5.71106e-05,5.71106e-05
131,10875.2,0.63147,0.37916,0.86317,0.94969,0.88766,0.9486,0.73645,0.65509,0.37286,0.86956,5.2795e-05,5.2795e-05,5.2795e-05
132,10959.7,0.62399,0.37471,0.86031,0.94856,0.8879,0.94865,0.73716,0.65477,0.37251,0.86951,4.86777e-05,4.86777e-05,4.86777e-05
133,11042,0.62539,0.3728,0.85924,0.95146,0.89127,0.94863,0.73688,0.65471,0.37237,0.86947,4.47606e-05,4.47606e-05,4.47606e-05
134,11123.5,0.62311,0.373,0.86172,0.95083,0.89218,0.94845,0.73737,0.65465,0.37263,0.86945,4.10454e-05,4.10454e-05,4.10454e-05
135,11205,0.62237,0.37234,0.8601,0.95075,0.89252,0.94826,0.73677,0.65466,0.37242,0.86947,3.75337e-05,3.75337e-05,3.75337e-05
136,11288.1,0.62451,0.37374,0.86,0.95085,0.89196,0.94839,0.73738,0.65449,0.3724,0.86942,3.4227e-05,3.4227e-05,3.4227e-05
137,11371.1,0.62306,0.37249,0.86032,0.95072,0.89199,0.9486,0.73703,0.65432,0.37219,0.86935,3.11268e-05,3.11268e-05,3.11268e-05
138,11454.3,0.61741,0.37016,0.85828,0.95006,0.89229,0.94781,0.73721,0.65432,0.37194,0.86943,2.82345e-05,2.82345e-05,2.82345e-05
139,11536.9,0.62197,0.37173,0.86175,0.95155,0.89118,0.94781,0.73748,0.65449,0.37221,0.8694,2.55513e-05,2.55513e-05,2.55513e-05
140,11617.3,0.62426,0.37266,0.85791,0.9522,0.89019,0.94786,0.73746,0.65419,0.37221,0.86927,2.30784e-05,2.30784e-05,2.30784e-05
141,11741.6,0.56693,0.32234,0.83357,0.95189,0.88861,0.94791,0.73586,0.65578,0.37285,0.86968,2.08169e-05,2.08169e-05,2.08169e-05
142,11821.3,0.54892,0.31465,0.82967,0.95125,0.88576,0.948,0.73517,0.65738,0.37281,0.86981,1.87678e-05,1.87678e-05,1.87678e-05
143,11900.4,0.54113,0.31044,0.82864,0.95266,0.88453,0.94879,0.73459,0.65897,0.37344,0.87018,1.6932e-05,1.6932e-05,1.6932e-05
